Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Checkout,Chrome 126.0.0.0,,,29-07-2024 13:10:01,29-07-2024 13:10:10,8.813s,PASSED
,,,,,,,
Test Cases/Web/Succes Login,Chrome 126.0.0.0,,,29-07-2024 13:10:01,29-07-2024 13:10:07,5.899s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,29-07-2024 13:10:01,29-07-2024 13:10:03,1.740s,PASSED
navigateToUrl(baseUrl),Chrome 126.0.0.0,,,29-07-2024 13:10:03,29-07-2024 13:10:03,0.467s,PASSED
"setText(findTestObject(""Success Login/input_username""), ""standard_user"")",Chrome 126.0.0.0,,,29-07-2024 13:10:03,29-07-2024 13:10:05,1.999s,PASSED
"setText(findTestObject(""Success Login/input_password""), password_success)",Chrome 126.0.0.0,,,29-07-2024 13:10:05,29-07-2024 13:10:06,0.631s,PASSED
"click(findTestObject(""Success Login/btn_login""))",Chrome 126.0.0.0,,,29-07-2024 13:10:06,29-07-2024 13:10:06,0.354s,PASSED
"verifyElementVisible(findTestObject(""Success Login/page_title""))",Chrome 126.0.0.0,,,29-07-2024 13:10:06,29-07-2024 13:10:07,0.411s,PASSED
,,,,,,,
Test Cases/Web/Add product to cart,Chrome 126.0.0.0,,,29-07-2024 13:10:07,29-07-2024 13:10:08,0.880s,PASSED
"click(findTestObject(""Homepage/button_add_to_cart""))",Chrome 126.0.0.0,,,29-07-2024 13:10:07,29-07-2024 13:10:07,0.308s,PASSED
"verifyElementVisible(findTestObject(""Homepage/icon_cart_with_product""))",Chrome 126.0.0.0,,,29-07-2024 13:10:07,29-07-2024 13:10:08,0.513s,PASSED
,,,,,,,
Test Cases/Web/Success Checkout Product,Chrome 126.0.0.0,,,29-07-2024 13:10:08,29-07-2024 13:10:10,1.867s,PASSED
"click(findTestObject(""Homepage/btn_cart_icon""))",Chrome 126.0.0.0,,,29-07-2024 13:10:08,29-07-2024 13:10:08,0.306s,PASSED
"click(findTestObject(""Cart Page/btn_checkout""))",Chrome 126.0.0.0,,,29-07-2024 13:10:08,29-07-2024 13:10:09,0.520s,PASSED
"setText(findTestObject(""Checkout information page/input_name""), first_name)",Chrome 126.0.0.0,,,29-07-2024 13:10:09,29-07-2024 13:10:10,0.937s,PASSED
